Date/Time,HVAC [kW](Hourly),Electrical appliances [kW](Hourly),Hourly Total Load Consumption,PV Generation Trabzon [kW],PV Generation Antalya [kW]
 11/01  18:00:00,0,0.448200529,0.448200529,0,0
 11/01  19:00:00,0,0.402135423,0.402135423,0,0
 11/01  20:00:00,0,0.319977444,0.319977444,0,0
 11/01  21:00:00,0,0.280754343,0.280754343,0,0
 11/01  22:00:00,0,0.263298624,0.263298624,0,0
 11/01  23:00:00,0,0.21075981,0.21075981,0,0
 11/01  24:00:00,0,0.140550925,0.140550925,0,0
 11/02  01:00:00,0,0.090892612,0.090892612,0,0
 11/02  02:00:00,0,0.07666173,0.07666173,0,0
 11/02  03:00:00,0.001283828,0.064098165,0.065381993,0,0
 11/02  04:00:00,0.008438366,0.056862021,0.065300387,0,0
 11/02  05:00:00,0.016136194,0.067277,0.083413194,0,0
 11/02  06:00:00,0.020942859,0.080047784,0.100990643,0,0.041763882
 11/02  07:00:00,0.020460811,0.133753612,0.154214424,0.123915432,0.43097967
 11/02  08:00:00,0.016866512,0.211338342,0.228204854,0.598681176,0.918327942
 11/02  09:00:00,0.017027778,0.272663295,0.289691073,1.05125898,1.376551032
 11/02  10:00:00,0.010971955,0.334037085,0.345009039,1.381999716,1.65763572
 11/02  11:00:00,0.013288241,0.348809033,0.362097274,1.547313912,1.81168743
 11/02  12:00:00,0,0.364933981,0.364933981,1.526951562,1.764250176
 11/02  13:00:00,0,0.355773214,0.355773214,1.153997568,1.497320832
 11/02  14:00:00,0,0.321952343,0.321952343,0.843254064,1.115463576
 11/02  15:00:00,0,0.296716788,0.296716788,0.528606606,0.638759898
 11/02  16:00:00,0,0.306790856,0.306790856,0.201854082,0.151467798
 11/02  17:00:00,0,0.35732319,0.35732319,0,0
 11/02  18:00:00,0,0.448200529,0.448200529,0,0
 11/02  19:00:00,0,0.402135423,0.402135423,0,0
 11/02  20:00:00,0,0.319977444,0.319977444,0,0
 11/02  21:00:00,0,0.280754343,0.280754343,0,0
 11/02  22:00:00,0,0.263298624,0.263298624,0,0
 11/02  23:00:00,0.00058004,0.21075981,0.21133985,0,0
 11/02  24:00:00,0.006766379,0.140550925,0.147317304,0,0
 11/03  01:00:00,0.018341192,0.090892612,0.109233804,0,0
 11/03  02:00:00,0.027687905,0.07666173,0.104349635,0,0
 11/03  03:00:00,0.034437963,0.064098165,0.098536128,0,0
 11/03  04:00:00,0.037248626,0.056862021,0.094110647,0,0
 11/03  05:00:00,0.037315312,0.067277,0.104592312,0,0
 11/03  06:00:00,0.036681644,0.080047784,0.116729428,0,0.0365118
 11/03  07:00:00,0.031955417,0.133753612,0.16570903,0.097626936,0.35093457
 11/03  08:00:00,0.026366975,0.211338342,0.237705317,0.294453624,0.848646576
 11/03  09:00:00,0.015787818,0.272663295,0.288451113,0.501812562,1.37818002
 11/03  10:00:00,0.00089462,0.334037085,0.334931705,0.758209656,1.682548002
 11/03  11:00:00,0.010567528,0.348809033,0.359376561,0.931500276,1.863899304
 11/03  12:00:00,0,0.364933981,0.364933981,1.05308457,1.784359752
 11/03  13:00:00,0,0.355773214,0.355773214,0.741835518,1.508274372
 11/03  14:00:00,0,0.321952343,0.321952343,0.607865298,1.1248443
 11/03  15:00:00,0,0.296716788,0.296716788,0.369780276,0.63979908
 11/03  16:00:00,0,0.306790856,0.306790856,0.09773928,0.146552748
 11/03  17:00:00,0,0.35732319,0.35732319,0,0
 11/03  18:00:00,0,0.448200529,0.448200529,0,0
 11/03  19:00:00,0,0.402135423,0.402135423,0,0
 11/03  20:00:00,0,0.319977444,0.319977444,0,0
 11/03  21:00:00,0,0.280754343,0.280754343,0,0
 11/03  22:00:00,0.000980081,0.263298624,0.264278704,0,0
 11/03  23:00:00,0.009452719,0.21075981,0.220212529,0,0
 11/03  24:00:00,0.022295606,0.140550925,0.162846531,0,0
 11/04  01:00:00,0.032765376,0.097466295,0.13023167,0,0
 11/04  02:00:00,0.043016709,0.080608754,0.123625463,0,0
